,weights1,weights2,MAP
151,"[(35, 65)]","[(20, 80)]",[0.06702301774584729]
152,"[(35, 65)]","[(25, 75)]",[0.06702301774584729]
153,"[(35, 65)]","[(30, 70)]",[0.06702301774584729]
154,"[(35, 65)]","[(35, 65)]",[0.06702301774584729]
155,"[(35, 65)]","[(40, 60)]",[0.06702301774584729]
156,"[(35, 65)]","[(45, 55)]",[0.06702301774584729]
157,"[(35, 65)]","[(50, 50)]",[0.06702301774584729]
147,"[(35, 65)]","[(0, 100)]",[0.06702301774584729]
159,"[(35, 65)]","[(60, 40)]",[0.06702301774584729]
165,"[(35, 65)]","[(90, 10)]",[0.06702301774584729]
160,"[(35, 65)]","[(65, 35)]",[0.06702301774584729]
167,"[(35, 65)]","[(100, 0)]",[0.06702301774584729]
166,"[(35, 65)]","[(95, 5)]",[0.06702301774584729]
150,"[(35, 65)]","[(15, 85)]",[0.06702301774584729]
164,"[(35, 65)]","[(85, 15)]",[0.06702301774584729]
162,"[(35, 65)]","[(75, 25)]",[0.06702301774584729]
161,"[(35, 65)]","[(70, 30)]",[0.06702301774584729]
163,"[(35, 65)]","[(80, 20)]",[0.06702301774584729]
136,"[(30, 70)]","[(50, 50)]",[0.06579704875258935]
126,"[(30, 70)]","[(0, 100)]",[0.06579704875258935]
127,"[(30, 70)]","[(5, 95)]",[0.06579704875258935]
128,"[(30, 70)]","[(10, 90)]",[0.06579704875258935]
129,"[(30, 70)]","[(15, 85)]",[0.06579704875258935]
130,"[(30, 70)]","[(20, 80)]",[0.06579704875258935]
131,"[(30, 70)]","[(25, 75)]",[0.06579704875258935]
132,"[(30, 70)]","[(30, 70)]",[0.06579704875258935]
133,"[(30, 70)]","[(35, 65)]",[0.06579704875258935]
134,"[(30, 70)]","[(40, 60)]",[0.06579704875258935]
135,"[(30, 70)]","[(45, 55)]",[0.06579704875258935]
137,"[(30, 70)]","[(55, 45)]",[0.06579704875258935]
138,"[(30, 70)]","[(60, 40)]",[0.06579704875258935]
139,"[(30, 70)]","[(65, 35)]",[0.06579704875258935]
141,"[(30, 70)]","[(75, 25)]",[0.06579704875258935]
142,"[(30, 70)]","[(80, 20)]",[0.06579704875258935]
143,"[(30, 70)]","[(85, 15)]",[0.06579704875258935]
144,"[(30, 70)]","[(90, 10)]",[0.06579704875258935]
145,"[(30, 70)]","[(95, 5)]",[0.06579704875258935]
146,"[(30, 70)]","[(100, 0)]",[0.06579704875258935]
140,"[(30, 70)]","[(70, 30)]",[0.06579704875258935]
109,"[(25, 75)]","[(20, 80)]",[0.06448023247986089]
113,"[(25, 75)]","[(40, 60)]",[0.06448023247986089]
112,"[(25, 75)]","[(35, 65)]",[0.06448023247986089]
111,"[(25, 75)]","[(30, 70)]",[0.06448023247986089]
110,"[(25, 75)]","[(25, 75)]",[0.06448023247986089]
108,"[(25, 75)]","[(15, 85)]",[0.06448023247986089]
107,"[(25, 75)]","[(10, 90)]",[0.06448023247986089]
106,"[(25, 75)]","[(5, 95)]",[0.06448023247986089]
105,"[(25, 75)]","[(0, 100)]",[0.06448023247986089]
115,"[(25, 75)]","[(50, 50)]",[0.06448023247986089]
114,"[(25, 75)]","[(45, 55)]",[0.06448023247986089]
116,"[(25, 75)]","[(55, 45)]",[0.06448023247986089]
117,"[(25, 75)]","[(60, 40)]",[0.06448023247986089]
118,"[(25, 75)]","[(65, 35)]",[0.06448023247986089]
119,"[(25, 75)]","[(70, 30)]",[0.06448023247986089]
120,"[(25, 75)]","[(75, 25)]",[0.06448023247986089]
121,"[(25, 75)]","[(80, 20)]",[0.06448023247986089]
122,"[(25, 75)]","[(85, 15)]",[0.06448023247986089]
123,"[(25, 75)]","[(90, 10)]",[0.06448023247986089]
124,"[(25, 75)]","[(95, 5)]",[0.06448023247986089]
125,"[(25, 75)]","[(100, 0)]",[0.06448023247986089]
87,"[(20, 80)]","[(15, 85)]",[0.06330742000281211]
91,"[(20, 80)]","[(35, 65)]",[0.06330742000281211]
90,"[(20, 80)]","[(30, 70)]",[0.06330742000281211]
89,"[(20, 80)]","[(25, 75)]",[0.06330742000281211]
88,"[(20, 80)]","[(20, 80)]",[0.06330742000281211]
94,"[(20, 80)]","[(50, 50)]",[0.06330742000281211]
86,"[(20, 80)]","[(10, 90)]",[0.06330742000281211]
85,"[(20, 80)]","[(5, 95)]",[0.06330742000281211]
84,"[(20, 80)]","[(0, 100)]",[0.06330742000281211]
93,"[(20, 80)]","[(45, 55)]",[0.06330742000281211]
92,"[(20, 80)]","[(40, 60)]",[0.06330742000281211]
97,"[(20, 80)]","[(65, 35)]",[0.06330742000281211]
95,"[(20, 80)]","[(55, 45)]",[0.06330742000281211]
96,"[(20, 80)]","[(60, 40)]",[0.06330742000281211]
98,"[(20, 80)]","[(70, 30)]",[0.06330742000281211]
