,threshold,weights1,weights2,MAP
23,[10],"[(20, 20, 60)]","[[100, 0, 0]]",[0.07369640826200638]
215,[13],"[(10, 60, 30)]","[[100, 0, 0]]",[0.07366946888255811]
24,[10],"[(20, 30, 50)]","[[100, 0, 0]]",[0.0736587402410665]
161,[12],"[(20, 80, 0)]","[[100, 0, 0]]",[0.073577538433911]
283,[14],"[(10, 80, 10)]","[[100, 0, 0]]",[0.07356573472362887]
25,[10],"[(20, 40, 40)]","[[100, 0, 0]]",[0.07354799128681247]
216,[13],"[(10, 70, 20)]","[[100, 0, 0]]",[0.07350781039243798]
78,[11],"[(10, 10, 80)]","[[100, 0, 0]]",[0.0734873067837967]
148,[12],"[(10, 50, 40)]","[[100, 0, 0]]",[0.07348327515752824]
36,[10],"[(30, 60, 10)]","[[100, 0, 0]]",[0.0734800851641765]
143,[12],"[(10, 0, 90)]","[[100, 0, 0]]",[0.07347467282567688]
81,[11],"[(10, 40, 50)]","[[100, 0, 0]]",[0.07347327585700077]
349,[15],"[(10, 80, 10)]","[[100, 0, 0]]",[0.0734719683266099]
79,[11],"[(10, 20, 70)]","[[100, 0, 0]]",[0.07346531003178987]
209,[13],"[(10, 0, 90)]","[[100, 0, 0]]",[0.07344621124168359]
21,[10],"[(20, 0, 80)]","[[100, 0, 0]]",[0.07342294960461863]
94,[11],"[(20, 70, 10)]","[[100, 0, 0]]",[0.07337524236578395]
149,[12],"[(10, 60, 30)]","[[100, 0, 0]]",[0.07330109337844685]
217,[13],"[(10, 80, 10)]","[[100, 0, 0]]",[0.07327639410375596]
284,[14],"[(10, 90, 0)]","[[100, 0, 0]]",[0.07319799909435998]
150,[12],"[(10, 70, 20)]","[[100, 0, 0]]",[0.07318282122524321]
350,[15],"[(10, 90, 0)]","[[100, 0, 0]]",[0.07314108711659775]
37,[10],"[(30, 70, 0)]","[[100, 0, 0]]",[0.07312170353249874]
333,[15],"[(0, 30, 70)]","[[100, 0, 0]]",[0.07308272091072782]
334,[15],"[(0, 40, 60)]","[[100, 0, 0]]",[0.07308017176649163]
77,[11],"[(10, 0, 90)]","[[100, 0, 0]]",[0.07305082470728472]
95,[11],"[(20, 80, 0)]","[[100, 0, 0]]",[0.07300372744702141]
332,[15],"[(0, 20, 80)]","[[100, 0, 0]]",[0.07299337395640851]
26,[10],"[(20, 50, 30)]","[[100, 0, 0]]",[0.07297120428481589]
82,[11],"[(10, 50, 40)]","[[100, 0, 0]]",[0.07295436753453362]
218,[13],"[(10, 90, 0)]","[[100, 0, 0]]",[0.07295316066048901]
268,[14],"[(0, 40, 60)]","[[100, 0, 0]]",[0.07293681914722422]
151,[12],"[(10, 80, 10)]","[[100, 0, 0]]",[0.07292647912941863]
331,[15],"[(0, 10, 90)]","[[100, 0, 0]]",[0.07286338533213439]
267,[14],"[(0, 30, 70)]","[[100, 0, 0]]",[0.07286313530577901]
27,[10],"[(20, 60, 20)]","[[100, 0, 0]]",[0.07283416462225162]
14,[10],"[(10, 30, 60)]","[[100, 0, 0]]",[0.07269413110146133]
83,[11],"[(10, 60, 30)]","[[100, 0, 0]]",[0.07267715319290159]
335,[15],"[(0, 50, 50)]","[[100, 0, 0]]",[0.07264648003643921]
266,[14],"[(0, 20, 80)]","[[100, 0, 0]]",[0.07264141033592802]
269,[14],"[(0, 50, 50)]","[[100, 0, 0]]",[0.07262447471082775]
152,[12],"[(10, 90, 0)]","[[100, 0, 0]]",[0.07259958631577854]
84,[11],"[(10, 70, 20)]","[[100, 0, 0]]",[0.07259030719804652]
202,[13],"[(0, 40, 60)]","[[100, 0, 0]]",[0.07256686125631676]
12,[10],"[(10, 10, 80)]","[[100, 0, 0]]",[0.07254146476384296]
336,[15],"[(0, 60, 40)]","[[100, 0, 0]]",[0.07253997025649486]
13,[10],"[(10, 20, 70)]","[[100, 0, 0]]",[0.07253338647966125]
201,[13],"[(0, 30, 70)]","[[100, 0, 0]]",[0.07248835337040423]
270,[14],"[(0, 60, 40)]","[[100, 0, 0]]",[0.07248612723950884]
15,[10],"[(10, 40, 50)]","[[100, 0, 0]]",[0.07241178704408514]
