,topK,weights,MAP
456,[1200],"[array([0.8, 0. , 0.2])]",[0.062442477514775135]
324,[1100],"[array([0.8, 0. , 0.2])]",[0.062442477514775135]
390,[1150],"[array([0.8, 0. , 0.2])]",[0.062442477514775135]
258,[1050],"[array([0.8, 0. , 0.2])]",[0.062442477514775135]
126,[950],"[array([0.8, 0. , 0.2])]",[0.062442477514775135]
60,[900],"[array([0.8, 0. , 0.2])]",[0.062442477514775135]
192,[1000],"[array([0.8, 0. , 0.2])]",[0.062442477514775135]
309,[1100],"[array([0.5, 0. , 0.5])]",[0.0624172667466216]
243,[1050],"[array([0.5, 0. , 0.5])]",[0.0624172667466216]
441,[1200],"[array([0.5, 0. , 0.5])]",[0.0624172667466216]
375,[1150],"[array([0.5, 0. , 0.5])]",[0.0624172667466216]
111,[950],"[array([0.5, 0. , 0.5])]",[0.0624172667466216]
45,[900],"[array([0.5, 0. , 0.5])]",[0.0624172667466216]
177,[1000],"[array([0.5, 0. , 0.5])]",[0.0624172667466216]
51,[900],"[array([0.6, 0. , 0.4])]",[0.062377592891889336]
447,[1200],"[array([0.6, 0. , 0.4])]",[0.062377592891889336]
117,[950],"[array([0.6, 0. , 0.4])]",[0.062377592891889336]
315,[1100],"[array([0.6, 0. , 0.4])]",[0.062377592891889336]
381,[1150],"[array([0.6, 0. , 0.4])]",[0.062377592891889336]
183,[1000],"[array([0.6, 0. , 0.4])]",[0.062377592891889336]
249,[1050],"[array([0.6, 0. , 0.4])]",[0.062377592891889336]
135,[1000],"[array([0. , 0.3, 0.7])]",[0.06228762936177679]
3,[900],"[array([0. , 0.3, 0.7])]",[0.06228762936177679]
399,[1200],"[array([0. , 0.3, 0.7])]",[0.06228762936177679]
267,[1100],"[array([0. , 0.3, 0.7])]",[0.06228762936177679]
201,[1050],"[array([0. , 0.3, 0.7])]",[0.06228762936177679]
333,[1150],"[array([0. , 0.3, 0.7])]",[0.06228762936177679]
69,[950],"[array([0. , 0.3, 0.7])]",[0.06228762936177679]
254,[1050],"[array([0.7, 0. , 0.3])]",[0.062231630305897734]
320,[1100],"[array([0.7, 0. , 0.3])]",[0.062231630305897734]
122,[950],"[array([0.7, 0. , 0.3])]",[0.062231630305897734]
452,[1200],"[array([0.7, 0. , 0.3])]",[0.062231630305897734]
188,[1000],"[array([0.7, 0. , 0.3])]",[0.062231630305897734]
386,[1150],"[array([0.7, 0. , 0.3])]",[0.062231630305897734]
56,[900],"[array([0.7, 0. , 0.3])]",[0.062231630305897734]
327,[1100],"[array([0.9, 0. , 0.1])]",[0.06213230211686076]
393,[1150],"[array([0.9, 0. , 0.1])]",[0.06213230211686076]
129,[950],"[array([0.9, 0. , 0.1])]",[0.06213230211686076]
261,[1050],"[array([0.9, 0. , 0.1])]",[0.06213230211686076]
459,[1200],"[array([0.9, 0. , 0.1])]",[0.06213230211686076]
195,[1000],"[array([0.9, 0. , 0.1])]",[0.06213230211686076]
63,[900],"[array([0.9, 0. , 0.1])]",[0.06213230211686076]
395,[1150],"[array([1., 0., 0.])]",[0.06210672852934433]
461,[1200],"[array([1., 0., 0.])]",[0.06210672852934433]
263,[1050],"[array([1., 0., 0.])]",[0.06210672852934433]
329,[1100],"[array([1., 0., 0.])]",[0.06210672852934433]
65,[900],"[array([1., 0., 0.])]",[0.06210672852934433]
197,[1000],"[array([1., 0., 0.])]",[0.06210672852934433]
131,[950],"[array([1., 0., 0.])]",[0.06210672852934433]
368,[1150],"[array([0.4, 0. , 0.6])]",[0.0614768115113714]
236,[1050],"[array([0.4, 0. , 0.6])]",[0.0614768115113714]
302,[1100],"[array([0.4, 0. , 0.6])]",[0.0614768115113714]
434,[1200],"[array([0.4, 0. , 0.6])]",[0.0614768115113714]
38,[900],"[array([0.4, 0. , 0.6])]",[0.0614768115113714]
104,[950],"[array([0.4, 0. , 0.6])]",[0.0614768115113714]
170,[1000],"[array([0.4, 0. , 0.6])]",[0.0614768115113714]
425,[1200],"[array([0.2, 0.8, 0. ])]",[0.0612105504786453]
359,[1150],"[array([0.2, 0.8, 0. ])]",[0.061204708179437003]
161,[1000],"[array([0.2, 0.8, 0. ])]",[0.06119275273305351]
293,[1100],"[array([0.2, 0.8, 0. ])]",[0.06118487899058418]
227,[1050],"[array([0.2, 0.8, 0. ])]",[0.061172973761028246]
95,[950],"[array([0.2, 0.8, 0. ])]",[0.06111354955006822]
29,[900],"[array([0.2, 0.8, 0. ])]",[0.06099432581025113]
17,[900],"[array([0.1, 0.6, 0.3])]",[0.06032509992814631]
149,[1000],"[array([0.1, 0.6, 0.3])]",[0.06028433118512189]
413,[1200],"[array([0.1, 0.6, 0.3])]",[0.060280052956372523]
347,[1150],"[array([0.1, 0.6, 0.3])]",[0.0602768261633278]
83,[950],"[array([0.1, 0.6, 0.3])]",[0.06025703730938801]
281,[1100],"[array([0.1, 0.6, 0.3])]",[0.06025053189196106]
215,[1050],"[array([0.1, 0.6, 0.3])]",[0.060220269990160946]
360,[1150],"[array([0.3, 0. , 0.7])]",[0.06018526126200873]
426,[1200],"[array([0.3, 0. , 0.7])]",[0.06018526126200873]
294,[1100],"[array([0.3, 0. , 0.7])]",[0.06018526126200873]
228,[1050],"[array([0.3, 0. , 0.7])]",[0.06018526126200873]
162,[1000],"[array([0.3, 0. , 0.7])]",[0.06018526126200873]
30,[900],"[array([0.3, 0. , 0.7])]",[0.06018526126200873]
96,[950],"[array([0.3, 0. , 0.7])]",[0.06018526126200873]
351,[1150],"[array([0.2, 0. , 0.8])]",[0.05968244417592357]
417,[1200],"[array([0.2, 0. , 0.8])]",[0.05968244417592357]
21,[900],"[array([0.2, 0. , 0.8])]",[0.05968244417592357]
153,[1000],"[array([0.2, 0. , 0.8])]",[0.05968244417592357]
87,[950],"[array([0.2, 0. , 0.8])]",[0.05968244417592357]
285,[1100],"[array([0.2, 0. , 0.8])]",[0.05968244417592357]
219,[1050],"[array([0.2, 0. , 0.8])]",[0.05968244417592357]
275,[1100],"[array([0.1, 0. , 0.9])]",[0.05714809110584035]
11,[900],"[array([0.1, 0. , 0.9])]",[0.05714809110584035]
209,[1050],"[array([0.1, 0. , 0.9])]",[0.05714809110584035]
341,[1150],"[array([0.1, 0. , 0.9])]",[0.05714809110584035]
