,topK,weights,MAP
845,[1300],"[array([0.6, 0.2, 0.2])]",[0.07174407532181186]
977,[1400],"[array([0.6, 0.2, 0.2])]",[0.07174407532181186]
1043,[1450],"[array([0.6, 0.2, 0.2])]",[0.07174407532181186]
911,[1350],"[array([0.6, 0.2, 0.2])]",[0.07174407532181186]
515,[1050],"[array([0.6, 0.2, 0.2])]",[0.07174407532181186]
779,[1250],"[array([0.6, 0.2, 0.2])]",[0.07174407532181186]
647,[1150],"[array([0.6, 0.2, 0.2])]",[0.07174407532181186]
1109,[1500],"[array([0.6, 0.2, 0.2])]",[0.07174407532181186]
119,[750],"[array([0.6, 0.2, 0.2])]",[0.07165252631506501]
58,[700],"[array([0.7, 0.2, 0.1])]",[0.07137368073379173]
124,[750],"[array([0.7, 0.2, 0.1])]",[0.07122448492455183]
190,[800],"[array([0.7, 0.2, 0.1])]",[0.07121361158956264]
256,[850],"[array([0.7, 0.2, 0.1])]",[0.07116945616133294]
388,[950],"[array([0.7, 0.2, 0.1])]",[0.0711051227544225]
322,[900],"[array([0.7, 0.2, 0.1])]",[0.07107078716558533]
454,[1000],"[array([0.7, 0.2, 0.1])]",[0.07106167328459863]
850,[1300],"[array([0.7, 0.2, 0.1])]",[0.07105430777873568]
784,[1250],"[array([0.7, 0.2, 0.1])]",[0.07105430777873568]
916,[1350],"[array([0.7, 0.2, 0.1])]",[0.07105430777873568]
586,[1100],"[array([0.7, 0.2, 0.1])]",[0.07105430777873568]
1114,[1500],"[array([0.7, 0.2, 0.1])]",[0.07105430777873568]
520,[1050],"[array([0.7, 0.2, 0.1])]",[0.07105430777873568]
652,[1150],"[array([0.7, 0.2, 0.1])]",[0.07105430777873568]
718,[1200],"[array([0.7, 0.2, 0.1])]",[0.07105430777873568]
982,[1400],"[array([0.7, 0.2, 0.1])]",[0.07105430777873568]
1048,[1450],"[array([0.7, 0.2, 0.1])]",[0.07105430777873568]
62,[700],"[array([0.8, 0.2, 0. ])]",[0.07046613227388507]
128,[750],"[array([0.8, 0.2, 0. ])]",[0.07039632943606203]
194,[800],"[array([0.8, 0.2, 0. ])]",[0.07032855751260876]
260,[850],"[array([0.8, 0.2, 0. ])]",[0.07032223745762906]
326,[900],"[array([0.8, 0.2, 0. ])]",[0.07030113536684084]
392,[950],"[array([0.8, 0.2, 0. ])]",[0.07028416480708513]
986,[1400],"[array([0.8, 0.2, 0. ])]",[0.07026969684914003]
656,[1150],"[array([0.8, 0.2, 0. ])]",[0.07026969684914003]
1052,[1450],"[array([0.8, 0.2, 0. ])]",[0.07026969684914003]
788,[1250],"[array([0.8, 0.2, 0. ])]",[0.07026969684914003]
590,[1100],"[array([0.8, 0.2, 0. ])]",[0.07026969684914003]
722,[1200],"[array([0.8, 0.2, 0. ])]",[0.07026969684914003]
458,[1000],"[array([0.8, 0.2, 0. ])]",[0.07026969684914003]
920,[1350],"[array([0.8, 0.2, 0. ])]",[0.07026969684914003]
524,[1050],"[array([0.8, 0.2, 0. ])]",[0.07026969684914003]
854,[1300],"[array([0.8, 0.2, 0. ])]",[0.07026969684914003]
1118,[1500],"[array([0.8, 0.2, 0. ])]",[0.07026969684914003]
78,[750],"[array([0.1, 0.1, 0.8])]",[0.07011095650229517]
88,[750],"[array([0.2, 0.1, 0.7])]",[0.07010820337307432]
144,[800],"[array([0.1, 0.1, 0.8])]",[0.07010804295202244]
286,[900],"[array([0.2, 0.1, 0.7])]",[0.07010278691479076]
352,[950],"[array([0.2, 0.1, 0.7])]",[0.07008118961482153]
12,[700],"[array([0.1, 0.1, 0.8])]",[0.0700786172550452]
154,[800],"[array([0.2, 0.1, 0.7])]",[0.07007590045229876]
748,[1250],"[array([0.2, 0.1, 0.7])]",[0.07007273005575779]
814,[1300],"[array([0.2, 0.1, 0.7])]",[0.07007273005575779]
880,[1350],"[array([0.2, 0.1, 0.7])]",[0.07007273005575779]
1012,[1450],"[array([0.2, 0.1, 0.7])]",[0.07007273005575779]
1078,[1500],"[array([0.2, 0.1, 0.7])]",[0.07007273005575779]
682,[1200],"[array([0.2, 0.1, 0.7])]",[0.07007273005575779]
946,[1400],"[array([0.2, 0.1, 0.7])]",[0.07007273005575779]
550,[1100],"[array([0.2, 0.1, 0.7])]",[0.07007273005575779]
616,[1150],"[array([0.2, 0.1, 0.7])]",[0.07007273005575779]
484,[1050],"[array([0.2, 0.1, 0.7])]",[0.07007154631374411]
418,[1000],"[array([0.2, 0.1, 0.7])]",[0.0700680108709299]
220,[850],"[array([0.2, 0.1, 0.7])]",[0.0700561694423544]
22,[700],"[array([0.2, 0.1, 0.7])]",[0.07002693734739265]
210,[850],"[array([0.1, 0.1, 0.8])]",[0.0699999209446837]
